====> Scrapping Decrypt News...
Finished 'fetch_news_content' in 0.1938 secs
Finished 'fetch_news_content' in 1.0087 secs
Finished 'fetch_news_content' in 1.1181 secs
Finished 'fetch_news_content' in 0.1541 secs
Finished 'fetch_news_content' in 0.7510 secs
Finished 'fetch_news_content' in 1.1146 secs
Finished 'fetch_news_content' in 0.1442 secs
Finished 'fetch_news_content' in 0.7395 secs
Finished 'fetch_news_content' in 0.7019 secs
Finished 'fetch_news_content' in 0.1763 secs
Finished 'fetch_news_content' in 1.1467 secs
Finished 'fetch_news_content' in 1.0845 secs
